,model_name,model_timeMillis,model_timeDeterminization,model_timeMinimization,model_timeEigen,model_netSize,model_automatonSizeOrig,model_automatonSizeDeterministic,model_automatonSize,model_entropy,model_largestEigenValue,model_entropyComputationConverged,model_convergenceThreshold,logModel_name,logModel_timeMillis,logModel_timeDeterminization,logModel_timeMinimization,logModel_timeEigen,logModel_netSize,logModel_automatonSizeOrig,logModel_automatonSizeDeterministic,logModel_automatonSize,logModel_entropy,logModel_largestEigenValue,logModel_entropyComputationConverged,logModel_convergenceThreshold,log_name,log_timeMillis,log_timeDeterminization,log_timeMinimization,log_timeEigen,log_netSize,log_automatonSizeOrig,log_automatonSizeDeterministic,log_automatonSize,log_entropy,log_largestEigenValue,log_entropyComputationConverged,log_convergenceThreshold,type,Precision,Recall,logSize,source
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,11,5,5,5,1.0398173866263043,2.05596739671282,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,248,10,15,15,15,0.4275091456029961,1.3449095462563871,True,3.375e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,248,10,15,15,15,0.4275091456029961,1.3449095462563871,True,3.375e-07,log-model,0.6541492576228075,1.0,10,Figure 11.pnml
1,3c0748c5-8a8f-42d9-b2b0-554db4e539dc,0,0,0,3,20,8,8,8,0.37908668650979904,1.3005182878057622,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,0,10,7,7,7,0.33659812158629365,1.2627754529946966,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,111,10,15,15,15,0.4275091456029923,1.3449095462563836,True,1.5e-07,log-md,0.9709786204738841,0.9389296525626494,10,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,0,0,5,5,5,5,1.0398173866263043,2.05596739671282,True,1e-07,MdM,0,0,0,2,8,8,8,8,0.3790866865098045,1.300518287805767,True,1e-07,3c0748c5-8a8f-42d9-b2b0-554db4e539dc,0,0,0,3,8,8,8,8,0.3790866865097993,1.3005182878057624,True,1e-07,md-m,0.6325578362210892,1.0000000000000036,10,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,0,11,5,5,5,1.0398173866263027,2.055967396712817,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,1,10,44,100000,1540,1540,1540,0.8452046070334154,1.7965195151083224,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,1,10,44,100000,1540,1540,1540,0.8452046070334154,1.7965195151083224,True,1e-07,log-model,0.8738073949911302,1.0,100000,Figure 11.pnml
1,ca30462a-6820-447f-996c-5b6e10d68e09,0,1,0,1,20,8,8,8,0.37908668650980093,1.3005182878057642,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,2,100000,8,8,8,0.3790866865097995,1.3005182878057626,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,1,10,52,100000,1540,1540,1540,0.8452046070334226,1.7965195151083315,True,1e-07,log-md,0.9999999999999988,0.7239099140692276,100000,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,1,0,5,5,5,5,1.0398173866263054,2.0559673967128207,True,1e-07,MdM,0,0,0,3,8,8,8,8,0.3790866865097995,1.3005182878057626,True,1e-07,ca30462a-6820-447f-996c-5b6e10d68e09,0,0,0,3,8,8,8,8,0.3790866865098022,1.3005182878057648,True,1e-07,md-m,0.6325578362210867,0.9999999999999983,100000,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,11,5,5,5,1.039817386626304,2.055967396712819,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,4,1000,123,123,123,0.7126483078943285,1.6388096667479144,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,4,1000,123,123,123,0.7126483078943285,1.6388096667479144,True,1e-07,log-model,0.7970990538897277,1.0,1000,Figure 11.pnml
1,ba9d4ca3-f9b1-478d-a16b-97f5ad1f3771,0,0,0,2,20,8,8,8,0.3790866865097973,1.3005182878057606,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,2,1000,8,8,8,0.37908668650979854,1.3005182878057615,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,4,1000,123,123,123,0.7126483078943296,1.6388096667479155,True,1e-07,log-md,1.0000000000000007,0.7935749429563314,1000,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,0,0,5,5,5,5,1.0398173866263063,2.0559673967128225,True,1e-07,MdM,0,0,0,2,8,8,8,8,0.3790866865097998,1.3005182878057628,True,1e-07,ba9d4ca3-f9b1-478d-a16b-97f5ad1f3771,0,1,0,1,8,8,8,8,0.3790866865098047,1.3005182878057673,True,1e-07,md-m,0.6325578362210864,0.9999999999999966,1000,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,11,5,5,5,1.0398173866263016,2.055967396712816,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,79,7,12,12,12,0.3869512055629993,1.3076271215820632,True,1.5e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,79,7,12,12,12,0.3869512055629993,1.3076271215820632,True,1.5e-07,log-model,0.636015495028162,1.0,7,Figure 11.pnml
1,74360fe4-349c-448a-8ff6-84538072ec1b,0,0,0,3,19,8,8,8,0.2384125548407302,1.1796938907415164,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,0,7,7,7,7,0.1541628002902177,1.1127756841849787,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,28,7,12,12,12,0.3869512055629907,1.3076271215820554,True,1e-07,log-md,0.943274940150385,0.850988531683763,7,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,5,5,5,5,1.0398173866263034,2.055967396712818,True,1e-07,MdM,0,0,0,2,8,8,8,8,0.23841255484072804,1.1796938907415149,True,1e-07,74360fe4-349c-448a-8ff6-84538072ec1b,0,0,0,2,8,8,8,8,0.2384125548407275,1.1796938907415142,True,1e-07,md-m,0.5737901742156357,1.0000000000000007,7,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,1,0,11,5,5,5,1.0398173866263047,2.05596739671282,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,3,10,10,10,0.2123226658993573,1.1585518930959855,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,3,10,10,10,0.2123226658993573,1.1585518930959855,True,1e-07,log-model,0.5635069383630958,1.0,3,Figure 11.pnml
1,0f0c77fb-ffd0-48f4-8e19-cb9d8173eda1,0,0,0,1,19,7,7,7,0.7655817461524926,1.7000553831138263,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,3,10,10,10,0.2123226658999891,1.1585518930964929,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,3,10,10,10,0.2123226658999891,1.1585518930964929,True,1e-07,log-md,0.6814789121601944,1.0,3,Figure 11.pnml
